dist,algo,ARI,Hausdorff,Distortion,Failure
Gaussian,KMeans,0.9937873877603327,0.006700649681609194,179405.73368403365,0.0
Gaussian,Balanced,0.9937430815890238,0.006819443694951373,179405.73338808253,0.0
Pareto,KMeans,0.0,32149.76889200355,751338359.1317557,1.0
Pareto,Balanced,0.010932555291200395,15.027499775461356,1782421730.8013248,1.0
Gaussian,KMeans,0.9947623734084411,0.00942536339092299,180518.59809194802,0.0
Gaussian,Balanced,0.9947623734084411,0.009475158571177934,180518.59764383658,0.0
Pareto,KMeans,-9.87621400274263e-10,3196.522262335449,108871699.71163979,1.0
Pareto,Balanced,0.021195444738276045,10.102674969917254,137847257.5938784,1.0
Gaussian,KMeans,0.994319138853929,0.007216658693465841,180400.43596530647,0.0
Gaussian,Balanced,0.994319138853929,0.007216658693219695,180400.43596530647,0.0
Pareto,KMeans,0.0,12475.720669426715,123907033.2990547,1.0
Pareto,Balanced,0.02155937705821903,10.431932739420844,277810601.29575354,1.0
Gaussian,KMeans,0.99467371859622,0.004539710672737235,180487.39724911872,0.0
Gaussian,Balanced,0.99467371859622,0.004539710672541588,180487.39724911872,0.0
Pareto,KMeans,0.0,526267.2752348059,3500092439.859628,1.0
Pareto,Balanced,0.009229111440312245,70.2263400898834,280412727798.3325,1.0
Gaussian,KMeans,0.9951170321639573,0.009966986339279678,180274.81060255266,0.0
Gaussian,Balanced,0.9951170321639573,0.010234859463228602,180274.79094339587,0.0
Pareto,KMeans,0.0,15277.541349979103,105243968.23726091,1.0
Pareto,Balanced,0.02216398984706743,10.209188091508123,336969021.04233897,1.0
Gaussian,KMeans,0.9944520988498151,0.00893127876834166,179652.17591913103,0.0
Gaussian,Balanced,0.9944520988498151,0.00886094878312849,179652.17547427188,0.0
Pareto,KMeans,0.0,134363.44180908828,2717686514.2995596,1.0
Pareto,Balanced,0.016198525984946845,14.65608425466796,20768267936.48006,1.0
Gaussian,KMeans,0.9948067022960545,0.010854592269163528,179269.53223128873,0.0
Gaussian,Balanced,0.9948067022960545,0.010685747273068931,179269.52856244007,0.0
Pareto,KMeans,-9.87621400274263e-10,8675.17473367091,228933274.2313054,1.0
Pareto,Balanced,0.02170319788042229,11.003142824480113,452872100.85376173,1.0
Gaussian,KMeans,0.9948953630342678,0.008435641154243789,179257.5972787561,0.0
Gaussian,Balanced,0.9948953630342678,0.008243002499175561,179257.59367448214,0.0
Pareto,KMeans,-9.87621400274263e-10,6613.215259427525,169456604.34010285,1.0
Pareto,Balanced,0.013794472911837581,12.817740851039723,298731844.6067796,1.0
Gaussian,KMeans,0.9944964208237616,0.011824961992465466,179515.52071559045,0.0
Gaussian,Balanced,0.9944964208237616,0.011900688293665685,179515.5171177645,0.0
Pareto,KMeans,0.0,9114.48646919722,205228639.35985076,1.0
Pareto,Balanced,0.021416034262619257,11.601633192124597,286210735.9474746,1.0
Gaussian,KMeans,0.9955160988203006,0.00817745368288205,179455.28916924188,0.0
Gaussian,Balanced,0.9955160988203006,0.00817745368288205,179455.28916924185,0.0
Pareto,KMeans,0.0,28314.29151014114,1048429015.1208456,1.0
Pareto,Balanced,0.016368689628571947,16.56294815796727,1846950874.825732,1.0
Gaussian,KMeans,0.9946293926716013,0.007839547165920153,179225.77984309266,0.0
Gaussian,Balanced,0.9946293926716013,0.007907976964839724,179225.7794184842,0.0
Pareto,KMeans,0.0,30245.35092096789,947898354.1769826,1.0
Pareto,Balanced,0.02008441807189778,13.457772487304474,1860233961.3945403,1.0
Gaussian,KMeans,0.9938760030659495,0.004033645184150533,180771.48566738673,0.0
Gaussian,Balanced,0.9938760030659495,0.004173323113646417,180771.48391318775,0.0
Pareto,KMeans,0.0,9288.642584248368,152443603.33901754,1.0
Pareto,Balanced,0.021377023736205047,10.632821200185932,236883763.93407923,1.0
Gaussian,KMeans,0.9950726963626847,0.012153347900047693,178775.47308011958,0.0
Gaussian,Balanced,0.9950726963626847,0.01229915616103802,178775.46943367308,0.0
Pareto,KMeans,-1.9751989062637876e-09,13346.995855530455,1003936416.859945,1.0
Pareto,Balanced,0.02048959500126548,18.25057979785361,1890815397.2442346,1.0
Gaussian,KMeans,0.9940975586141294,0.010016961087137769,179305.02397725682,0.0
Gaussian,Balanced,0.9940975586141294,0.0099796620712475,179305.02351670875,0.0
Pareto,KMeans,0.0,10153.834142947771,149301157.21462673,1.0
Pareto,Balanced,0.021873784241787663,10.58519811963958,250593851.08961645,1.0
Gaussian,KMeans,0.9940532455291555,0.008177867395599354,177897.06155398663,0.0
Gaussian,Balanced,0.9940532455291555,0.008234963876026683,177897.06115520076,0.0
Pareto,KMeans,0.0,31761.057875605748,999890865.7060294,1.0
Pareto,Balanced,0.021755614880216077,14.2126031586357,2005889308.757086,1.0
Gaussian,KMeans,0.9948510321713309,0.004801927950334975,179156.9837800049,0.0
Gaussian,Balanced,0.9948510321713309,0.004801927950334975,179156.9837800049,0.0
Pareto,KMeans,0.0,9704.257884592009,105756980.710173,1.0
Pareto,Balanced,0.022111082968770897,10.030475458847791,198299735.31511873,1.0
Gaussian,KMeans,0.9942748208306358,0.005403357439994438,179230.93045597905,0.0
Gaussian,Balanced,0.9942748208306358,0.005136967492878936,179230.9240332616,0.0
Pareto,KMeans,0.0,5427.921778994109,85577690.43832949,1.0
Pareto,Balanced,0.019298548261716942,10.129380542896614,113464045.92084639,1.0
Gaussian,KMeans,0.9950283615490826,0.004704575243026423,179725.4248973437,0.0
Gaussian,Balanced,0.9950283615490826,0.004782746015459199,179725.4242144569,0.0
Pareto,KMeans,0.0,8279.386638438335,152863546.23344177,1.0
Pareto,Balanced,0.020591521334901268,11.345429536494882,219456138.47772083,1.0
Gaussian,KMeans,0.9948953630342724,0.0050423175120811025,179538.71193008436,0.0
Gaussian,Balanced,0.9948953630342724,0.0050423175120811025,179538.7119300844,0.0
Pareto,KMeans,0.0,143718.19595353797,333446868.88644797,1.0
Pareto,Balanced,0.016942321552754765,27.444057190260725,20980909907.401276,1.0
Gaussian,KMeans,0.994806702296066,0.00597386441820882,179835.65089336003,0.0
Gaussian,Balanced,0.994806702296066,0.005914716740417619,179835.6504863631,0.0
Pareto,KMeans,0.0,38858.698629872495,286520102.1683277,1.0
Pareto,Balanced,0.012233324938781242,15.867491065705101,1793871825.657002,1.0
